
=== Experiment 13: full David-review stopping-rule comparison ===
# T4 fits OLS to the preceding log-dQ window and compares the current trend-extrapolation residual with the fitted-residual scale. T5 applies CUSUM/SR to the same standardized residual stream; h is calibrated once on ER nulls, rather than swept per real graph.
# `mad` uses 1.4826*MAD and suppresses a near-flat window when its relative scale is below 1e-6; `defer` begins testing only after no mergeable singleton community remains. BM-native-stop is separate: it tests Eq. 6 on CNM's selected community pair with adaptive tau.
dataset	method	modifier	W	parameter	sided	stop_at	of_merges	stop_frac	K_all	K_ge3	Q	F1	NMI	frac_nonsingleton
    ...5000 merges, heap 71026, nbr_entries 89736 (max deg 67), 31 ms
    ...5000 merges, heap 70739, nbr_entries 89450 (max deg 56), 25 ms
    ...5000 merges, heap 70811, nbr_entries 89440 (max deg 52), 27 ms
    ...5000 merges, heap 69124, nbr_entries 90102 (max deg 57), 27 ms
    ...5000 merges, heap 69775, nbr_entries 90366 (max deg 90), 26 ms
    ...5000 merges, heap 69119, nbr_entries 89932 (max deg 60), 29 ms
    ...5000 merges, heap 71568, nbr_entries 90000 (max deg 43), 31 ms
    ...5000 merges, heap 68499, nbr_entries 90382 (max deg 46), 30 ms
    ...5000 merges, heap 69601, nbr_entries 90090 (max deg 51), 26 ms
    ...5000 merges, heap 69609, nbr_entries 90546 (max deg 47), 27 ms
# CUSUM calibration (delta=1, W=15): selected h=50.000 by the >=90% mean-ARL rule.
    ...150000 merges, heap 5529092, nbr_entries 849006 (max deg 41995), 152217 ms
    ...155000 merges, heap 17059692, nbr_entries 828570 (max deg 41554), 152914 ms
    [compact] 20011799 -> 379708 live entries after 155756 merges (153255 ms)
    ...160000 merges, heap 13872049, nbr_entries 806822 (max deg 40978), 154136 ms
    [compact] 20017717 -> 366482 live entries after 161705 merges (154639 ms)
    ...165000 merges, heap 11195647, nbr_entries 782242 (max deg 40175), 155376 ms
    [compact] 20016165 -> 349730 live entries after 168808 merges (156226 ms)
    ...170000 merges, heap 2713849, nbr_entries 756824 (max deg 39594), 156387 ms
    ...175000 merges, heap 11223308, nbr_entries 731602 (max deg 38972), 156993 ms
    [compact] 20008477 -> 324194 live entries after 179067 merges (157596 ms)
    ...180000 merges, heap 2176747, nbr_entries 705458 (max deg 38338), 157715 ms
    ...185000 merges, heap 12513642, nbr_entries 679270 (max deg 37602), 158335 ms
    [compact] 20018481 -> 299538 live entries after 188759 merges (159138 ms)
    ...190000 merges, heap 2819251, nbr_entries 653594 (max deg 36939), 159321 ms
    ...195000 merges, heap 11134024, nbr_entries 626118 (max deg 36103), 160019 ms
    [compact] 20000294 -> 271120 live entries after 199572 merges (160864 ms)
    ...200000 merges, heap 1064840, nbr_entries 598858 (max deg 35187), 160953 ms
    ...205000 merges, heap 10743564, nbr_entries 574936 (max deg 34343), 161812 ms
    ...210000 merges, heap 17440797, nbr_entries 550328 (max deg 33508), 162247 ms
    [compact] 20009360 -> 242067 live entries after 211878 merges (162676 ms)
    ...215000 merges, heap 5365052, nbr_entries 523480 (max deg 32516), 163092 ms
    ...220000 merges, heap 11950096, nbr_entries 494160 (max deg 31422), 163578 ms
    ...225000 merges, heap 18810760, nbr_entries 465948 (max deg 30532), 164279 ms
    [compact] 20004635 -> 204040 live entries after 225966 merges (164504 ms)
    ...230000 merges, heap 5082526, nbr_entries 431946 (max deg 29513), 165036 ms
    ...235000 merges, heap 12099000, nbr_entries 402110 (max deg 28245), 165788 ms
    ...240000 merges, heap 18979052, nbr_entries 371510 (max deg 26785), 166566 ms
    [compact] 20001733 -> 161746 live entries after 240556 merges (166737 ms)
    ...245000 merges, heap 4784958, nbr_entries 342172 (max deg 25323), 167234 ms
    ...250000 merges, heap 9463075, nbr_entries 309130 (max deg 24056), 167639 ms
    ...255000 merges, heap 13009598, nbr_entries 271672 (max deg 22517), 168020 ms
    ...260000 merges, heap 15680301, nbr_entries 238352 (max deg 21231), 168245 ms
    ...265000 merges, heap 17716726, nbr_entries 201706 (max deg 19683), 168441 ms
    ...270000 merges, heap 19292682, nbr_entries 162938 (max deg 18198), 168658 ms
    ...275000 merges, heap 19979906, nbr_entries 124914 (max deg 16680), 168800 ms
    ...280000 merges, heap 19899676, nbr_entries 101508 (max deg 15330), 168919 ms
    [compact] 20000076 -> 36950 live entries after 283545 merges (169286 ms)
    ...285000 merges, heap 2282255, nbr_entries 86580 (max deg 14370), 169388 ms
    ...290000 merges, heap 8843268, nbr_entries 73782 (max deg 13845), 170252 ms
    ...295000 merges, heap 11605199, nbr_entries 60642 (max deg 13202), 171678 ms
    [compact] 20000254 -> 16611 live entries after 299741 merges (173744 ms)
    ...300000 merges, heap 540514, nbr_entries 49036 (max deg 12838), 173813 ms
    ...305000 merges, heap 10803992, nbr_entries 37810 (max deg 9375), 176492 ms
    [compact] 20001863 -> 7109 live entries after 308922 merges (178231 ms)
    ...310000 merges, heap 1545395, nbr_entries 26676 (max deg 4603), 178374 ms
# dblp_full CNM-full merges=313936 budget=0 singleton_phase_end=312156
# plateau-window dblp_full indices=2438..2458 bit_identical_consecutive=yes
TRACE	dblp_full	2438	9.52501148952566497e-07
TRACE	dblp_full	2439	9.52501148952566497e-07
TRACE	dblp_full	2440	9.52501148952566497e-07
TRACE	dblp_full	2441	9.52501148952566497e-07
TRACE	dblp_full	2442	9.52501148952566497e-07
TRACE	dblp_full	2443	9.52501148952566497e-07
TRACE	dblp_full	2444	9.52501148952566497e-07
TRACE	dblp_full	2445	9.52501148952566497e-07
TRACE	dblp_full	2446	9.52501148952566497e-07
TRACE	dblp_full	2447	9.52501148952566497e-07
TRACE	dblp_full	2448	9.52501148952566497e-07
TRACE	dblp_full	2449	9.52501148952566497e-07
TRACE	dblp_full	2450	9.52501148952566497e-07
TRACE	dblp_full	2451	9.52501148952566497e-07
TRACE	dblp_full	2452	9.52501148952566497e-07
TRACE	dblp_full	2453	9.52501148952566497e-07
TRACE	dblp_full	2454	9.52501148952566497e-07
TRACE	dblp_full	2455	9.52501148952566497e-07
TRACE	dblp_full	2456	9.52501148952566497e-07
TRACE	dblp_full	2457	9.52501148952566497e-07
TRACE	dblp_full	2458	9.52501148952566497e-07
dblp_full	CNM-full	-	0	0.000	1	313936.000	313936.000	1.000	3144.000	3144.000	0.731	0.359	0.486	1.000
dblp_full	T1-2sided-k1	none	10	1.000	2	1722.000	313936.000	0.005	315358.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T2-short-1sided	none	5	5.000	1	3948.000	313936.000	0.013	313132.000	0.000	0.004	0.167	0.716	0.025
dblp_full	T3-diff-1sided	none	15	3.000	1	1721.000	313936.000	0.005	315359.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T4-detrend-1sided	none	10	1.000	1	1722.000	313936.000	0.005	315358.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T4-detrend-2sided	none	10	1.000	2	1722.000	313936.000	0.005	315358.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T4-detrend-1sided	none	10	2.000	1	1722.000	313936.000	0.005	315358.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T4-detrend-2sided	none	10	2.000	2	1722.000	313936.000	0.005	315358.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T4-detrend-1sided	none	10	3.000	1	30235.000	313936.000	0.096	286845.000	10360.000	0.039	0.183	0.718	0.150
dblp_full	T4-detrend-2sided	none	10	3.000	2	3949.000	313936.000	0.013	313131.000	0.000	0.004	0.167	0.716	0.025
dblp_full	T4-detrend-1sided	none	15	1.000	1	1722.000	313936.000	0.005	315358.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T4-detrend-2sided	none	15	1.000	2	1722.000	313936.000	0.005	315358.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T4-detrend-1sided	none	15	2.000	1	1722.000	313936.000	0.005	315358.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T4-detrend-2sided	none	15	2.000	2	1722.000	313936.000	0.005	315358.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T4-detrend-1sided	none	15	3.000	1	1722.000	313936.000	0.005	315358.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T4-detrend-2sided	none	15	3.000	2	1722.000	313936.000	0.005	315358.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T4-detrend-1sided	none	20	1.000	1	1722.000	313936.000	0.005	315358.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T4-detrend-2sided	none	20	1.000	2	1722.000	313936.000	0.005	315358.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T4-detrend-1sided	none	20	2.000	1	1722.000	313936.000	0.005	315358.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T4-detrend-2sided	none	20	2.000	2	1722.000	313936.000	0.005	315358.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T4-detrend-1sided	none	20	3.000	1	1722.000	313936.000	0.005	315358.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T4-detrend-2sided	none	20	3.000	2	1722.000	313936.000	0.005	315358.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T5-cusum	none	15	50.000	1	34111.000	313936.000	0.109	282969.000	10154.000	0.068	0.183	0.716	0.161
dblp_full	T5-sr	none	15	50.000	1	1723.000	313936.000	0.005	315357.000	0.000	0.002	0.167	0.716	0.011
dblp_full	T1-2sided-k1	defer	10	1.000	2	312156.000	313936.000	0.994	4924.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T2-short-1sided	defer	5	5.000	1	312158.000	313936.000	0.994	4922.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T3-diff-1sided	defer	15	3.000	1	312158.000	313936.000	0.994	4922.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-1sided	defer	10	1.000	1	312156.000	313936.000	0.994	4924.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-2sided	defer	10	1.000	2	312156.000	313936.000	0.994	4924.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-1sided	defer	10	2.000	1	312156.000	313936.000	0.994	4924.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-2sided	defer	10	2.000	2	312156.000	313936.000	0.994	4924.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-1sided	defer	10	3.000	1	312156.000	313936.000	0.994	4924.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-2sided	defer	10	3.000	2	312156.000	313936.000	0.994	4924.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-1sided	defer	15	1.000	1	312156.000	313936.000	0.994	4924.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-2sided	defer	15	1.000	2	312156.000	313936.000	0.994	4924.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-1sided	defer	15	2.000	1	312156.000	313936.000	0.994	4924.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-2sided	defer	15	2.000	2	312156.000	313936.000	0.994	4924.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-1sided	defer	15	3.000	1	312158.000	313936.000	0.994	4922.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-2sided	defer	15	3.000	2	312158.000	313936.000	0.994	4922.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-1sided	defer	20	1.000	1	312156.000	313936.000	0.994	4924.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-2sided	defer	20	1.000	2	312156.000	313936.000	0.994	4924.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-1sided	defer	20	2.000	1	312156.000	313936.000	0.994	4924.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-2sided	defer	20	2.000	2	312156.000	313936.000	0.994	4924.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-1sided	defer	20	3.000	1	312158.000	313936.000	0.994	4922.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-2sided	defer	20	3.000	2	312158.000	313936.000	0.994	4922.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T5-cusum	defer	15	50.000	1	312158.000	313936.000	0.994	4922.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T5-sr	defer	15	50.000	1	312157.000	313936.000	0.994	4923.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T1-2sided-k1	mad	10	1.000	2	30172.000	313936.000	0.096	286908.000	10347.000	0.039	0.182	0.718	0.150
dblp_full	T2-short-1sided	mad	5	5.000	1	3957.000	313936.000	0.013	313123.000	4.000	0.004	0.167	0.716	0.025
dblp_full	T3-diff-1sided	mad	15	3.000	1	3967.000	313936.000	0.013	313113.000	9.000	0.004	0.167	0.716	0.025
dblp_full	T4-detrend-1sided	mad	10	1.000	1	3950.000	313936.000	0.013	313130.000	1.000	0.004	0.167	0.716	0.025
dblp_full	T4-detrend-2sided	mad	10	1.000	2	3950.000	313936.000	0.013	313130.000	1.000	0.004	0.167	0.716	0.025
dblp_full	T4-detrend-1sided	mad	10	2.000	1	3951.000	313936.000	0.013	313129.000	1.000	0.004	0.167	0.716	0.025
dblp_full	T4-detrend-2sided	mad	10	2.000	2	3951.000	313936.000	0.013	313129.000	1.000	0.004	0.167	0.716	0.025
dblp_full	T4-detrend-1sided	mad	10	3.000	1	4146.000	313936.000	0.013	312934.000	104.000	0.004	0.168	0.716	0.026
dblp_full	T4-detrend-2sided	mad	10	3.000	2	3952.000	313936.000	0.013	313128.000	1.000	0.004	0.167	0.716	0.025
dblp_full	T4-detrend-1sided	mad	15	1.000	1	3950.000	313936.000	0.013	313130.000	1.000	0.004	0.167	0.716	0.025
dblp_full	T4-detrend-2sided	mad	15	1.000	2	3950.000	313936.000	0.013	313130.000	1.000	0.004	0.167	0.716	0.025
dblp_full	T4-detrend-1sided	mad	15	2.000	1	3955.000	313936.000	0.013	313125.000	3.000	0.004	0.167	0.716	0.025
dblp_full	T4-detrend-2sided	mad	15	2.000	2	3952.000	313936.000	0.013	313128.000	1.000	0.004	0.167	0.716	0.025
dblp_full	T4-detrend-1sided	mad	15	3.000	1	3967.000	313936.000	0.013	313113.000	9.000	0.004	0.167	0.716	0.025
dblp_full	T4-detrend-2sided	mad	15	3.000	2	3952.000	313936.000	0.013	313128.000	1.000	0.004	0.167	0.716	0.025
dblp_full	T4-detrend-1sided	mad	20	1.000	1	3950.000	313936.000	0.013	313130.000	1.000	0.004	0.167	0.716	0.025
dblp_full	T4-detrend-2sided	mad	20	1.000	2	3950.000	313936.000	0.013	313130.000	1.000	0.004	0.167	0.716	0.025
dblp_full	T4-detrend-1sided	mad	20	2.000	1	3955.000	313936.000	0.013	313125.000	3.000	0.004	0.167	0.716	0.025
dblp_full	T4-detrend-2sided	mad	20	2.000	2	3952.000	313936.000	0.013	313128.000	1.000	0.004	0.167	0.716	0.025
dblp_full	T4-detrend-1sided	mad	20	3.000	1	4252.000	313936.000	0.014	312828.000	203.000	0.004	0.168	0.716	0.026
dblp_full	T4-detrend-2sided	mad	20	3.000	2	3952.000	313936.000	0.013	313128.000	1.000	0.004	0.167	0.716	0.025
dblp_full	T5-cusum	mad	15	50.000	1	3967.000	313936.000	0.013	313113.000	9.000	0.004	0.167	0.716	0.025
dblp_full	T5-sr	mad	15	50.000	1	3967.000	313936.000	0.013	313113.000	9.000	0.004	0.167	0.716	0.025
dblp_full	T1-2sided-k1	defer+mad	10	1.000	2	312156.000	313936.000	0.994	4924.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T2-short-1sided	defer+mad	5	5.000	1	312158.000	313936.000	0.994	4922.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T3-diff-1sided	defer+mad	15	3.000	1	312158.000	313936.000	0.994	4922.000	4306.000	0.730	0.341	0.500	1.000
dblp_full	T4-detrend-1sided	defer+mad	10	1.000	1	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	T4-detrend-2sided	defer+mad	10	1.000	2	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	T4-detrend-1sided	defer+mad	10	2.000	1	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	T4-detrend-2sided	defer+mad	10	2.000	2	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	T4-detrend-1sided	defer+mad	10	3.000	1	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	T4-detrend-2sided	defer+mad	10	3.000	2	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	T4-detrend-1sided	defer+mad	15	1.000	1	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	T4-detrend-2sided	defer+mad	15	1.000	2	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	T4-detrend-1sided	defer+mad	15	2.000	1	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	T4-detrend-2sided	defer+mad	15	2.000	2	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	T4-detrend-1sided	defer+mad	15	3.000	1	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	T4-detrend-2sided	defer+mad	15	3.000	2	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	T4-detrend-1sided	defer+mad	20	1.000	1	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	T4-detrend-2sided	defer+mad	20	1.000	2	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	T4-detrend-1sided	defer+mad	20	2.000	1	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	T4-detrend-2sided	defer+mad	20	2.000	2	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	T4-detrend-1sided	defer+mad	20	3.000	1	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	T4-detrend-2sided	defer+mad	20	3.000	2	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	T5-cusum	defer+mad	15	50.000	1	312659.000	313936.000	0.996	4421.000	4066.000	0.730	0.348	0.498	1.000
dblp_full	T5-sr	defer+mad	15	50.000	1	312159.000	313936.000	0.994	4921.000	4305.000	0.730	0.342	0.500	1.000
dblp_full	BM-native-stop	-	0	2.000	1	30410.000	313936.000	0.097	286670.000	10351.000	0.040	0.183	0.718	0.150
dblp_full	cm-baseline	-	0	1.000	1	0.000	313936.000	0.000	317080.000	0.000	-0.000	0.167	0.716	0.000
dblp_full	cm-baseline	-	0	5.000	1	0.000	313936.000	0.000	317080.000	0.000	-0.000	0.167	0.716	0.000
dblp_full	cm-baseline	-	0	10.000	1	0.000	313936.000	0.000	317080.000	0.000	-0.000	0.167	0.716	0.000
dblp_full	cm-baseline	-	0	50.000	1	0.000	313936.000	0.000	317080.000	0.000	-0.000	0.167	0.716	0.000
